season,venue,batting_team,bowling_team,final_score
2018,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,Chennai Super Kings,192
2018,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,177
2018,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,93
2018,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,144
2018,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,197
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,222
2018,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,171
2018,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,169
2018,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,183
2018,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,186
2018,Maharashtra Cricket Association Stadium,Kings XI Punjab,Chennai Super Kings,164
2018,Wankhede Stadium,Sunrisers Hyderabad,Chennai Super Kings,148
2018,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,179
2018,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,179
2018,Wankhede Stadium,Sunrisers Hyderabad,Chennai Super Kings,186
2019,M. A. Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,74
2019,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,189
2019,Wankhede Stadium,Delhi Capitals,Mumbai Indians,219
2019,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,200
2019,Feroz Shah Kotla Ground,Delhi Capitals,Chennai Super Kings,154
2019,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,223
2019,M. Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,197
2019,Rajiv Gandhi Intl. Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,203
2019,IS Bindra Stadium,Mumbai Indians,Kings XI Punjab,187
2019,Feroz Shah Kotla Ground,Kolkata Knight Riders,Delhi Capitals,193
2019,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,233
2019,M. A. Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,182
2019,IS Bindra Stadium,Kings XI Punjab,Delhi Capitals,175
2019,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,163
2019,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,176
2019,Feroz Shah Kotla Ground,Delhi Capitals,Sunrisers Hyderabad,134
2019,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,210
2019,M. A. Chidambaram Stadium,Chennai Super Kings,Kings XI Punjab,165
2019,Rajiv Gandhi Intl. Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,142
2019,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,154
2019,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,150
2019,IS Bindra Stadium,Sunrisers Hyderabad,Kings XI Punjab,158
2019,M. A. Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,112
2019,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,204
2019,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,158
2019,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,183
2019,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,191
2019,IS Bindra Stadium,Kings XI Punjab,Royal Challengers Bangalore,180
2019,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,170
2019,Rajiv Gandhi Intl. Cricket Stadium,Delhi Capitals,Sunrisers Hyderabad,164
2019,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,179
2019,IS Bindra Stadium,Kings XI Punjab,Rajasthan Royals,190
2019,Rajiv Gandhi Intl. Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,139
2019,Feroz Shah Kotla Ground,Mumbai Indians,Delhi Capitals,174
2019,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,219
2019,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,170
2019,Feroz Shah Kotla Ground,Kings XI Punjab,Delhi Capitals,168
2019,Rajiv Gandhi Intl. Cricket Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,164
2019,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,165
2019,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,196
2019,M. A. Chidambaram Stadium,Sunrisers Hyderabad,Chennai Super Kings,179
2019,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,213
2019,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,185
2019,M. A. Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,159
2019,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,169
2019,Feroz Shah Kotla Ground,Delhi Capitals,Royal Challengers Bangalore,192
2019,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,239
2019,Rajiv Gandhi Intl. Cricket Stadium,Sunrisers Hyderabad,Kings XI Punjab,232
2019,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,65
2019,M. A. Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,186
2019,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,170
2019,IS Bindra Stadium,Kings XI Punjab,Kolkata Knight Riders,186
2019,Feroz Shah Kotla Ground,Rajasthan Royals,Delhi Capitals,124
2019,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,179
2019,IS Bindra Stadium,Chennai Super Kings,Kings XI Punjab,172
2019,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,143
2019,M. A. Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,136
2019,ACA-VDCA Stadium,Sunrisers Hyderabad,Delhi Capitals,171
2019,ACA-VDCA Stadium,Delhi Capitals,Chennai Super Kings,155
2019,Rajiv Gandhi Intl. Cricket Stadium,Mumbai Indians,Chennai Super Kings,152
