season,venue,batting_team,bowling_team,final_score
2009,St George's Park,Deccan Chargers,Rajasthan Royals,141
2009,New Wanderers Stadium,Chennai Super Kings,Delhi Daredevils,163
2009,St George's Park,Kolkata Knight Riders,Kings XI Punjab,153
2009,New Wanderers Stadium,Mumbai Indians,Royal Challengers Bangalore,149
2009,Buffalo Park,Chennai Super Kings,Deccan Chargers,178
2009,Kingsmead,Rajasthan Royals,Kings XI Punjab,211
2009,Kingsmead,Kolkata Knight Riders,Delhi Daredevils,154
2009,SuperSport Park,Deccan Chargers,Mumbai Indians,145
2009,SuperSport Park,Royal Challengers Bangalore,Rajasthan Royals,105
2009,SuperSport Park,Chennai Super Kings,Kings XI Punjab,185
2009,Buffalo Park,Mumbai Indians,Delhi Daredevils,116
2009,De Beers Diamond Oval,Deccan Chargers,Kings XI Punjab,168
2009,De Beers Diamond Oval,Rajasthan Royals,Chennai Super Kings,140
2009,St George's Park,Mumbai Indians,Royal Challengers Bangalore,157
2009,New Wanderers Stadium,Kolkata Knight Riders,Delhi Daredevils,123
2009,De Beers Diamond Oval,Deccan Chargers,Rajasthan Royals,166
2009,SuperSport Park,Kolkata Knight Riders,Royal Challengers Bangalore,173
2009,SuperSport Park,Kings XI Punjab,Mumbai Indians,119
2009,Kingsmead,Delhi Daredevils,Deccan Chargers,173
2009,Kingsmead,Chennai Super Kings,Royal Challengers Bangalore,129
2009,Kingsmead,Rajasthan Royals,Mumbai Indians,145
2009,OUTsurance Oval,Delhi Daredevils,Kings XI Punjab,120
2009,St George's Park,Mumbai Indians,Chennai Super Kings,147
2009,New Wanderers Stadium,Kolkata Knight Riders,Deccan Chargers,160
2009,New Wanderers Stadium,Kings XI Punjab,Deccan Chargers,134
2009,OUTsurance Oval,Delhi Daredevils,Rajasthan Royals,150
2009,SuperSport Park,Chennai Super Kings,Kolkata Knight Riders,188
2009,New Wanderers Stadium,Delhi Daredevils,Royal Challengers Bangalore,134
2009,Kingsmead,Rajasthan Royals,Kolkata Knight Riders,101
2009,Kingsmead,Chennai Super Kings,Kings XI Punjab,116
2009,SuperSport Park,Mumbai Indians,Delhi Daredevils,165
2009,SuperSport Park,Royal Challengers Bangalore,Deccan Chargers,170
2009,SuperSport Park,Delhi Daredevils,Deccan Chargers,153
